"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Xia X.; Yuruk N.; Wang Y.; Zhai X.","Xia, Xin (58544876200); Yuruk, Nejla (22959323200); Wang, Yun (59936586800); Zhai, Xiaoming (57192683367)","58544876200; 22959323200; 59936586800; 57192683367","Using Learning Progressions to Guide AI Feedback for Science Learning","2027","Lecture Notes in Computer Science","16585 LNAI","","","195","204","0","10.1007/978-3-032-29770-9_22","https://www.scopus.com/pages/publications/105044000008?origin=resultslist","Generative artificial intelligence (AI) offers scalable support for formative feedback, yet most AI-generated feedback relies on task-specific rubrics authored by domain experts. While effective, rubric authoring is time-consuming and limits scalability across instructional contexts. Learning progressions (LP) provide a theoretically grounded representation of students’ developing understanding and may offer an alternative solution. This study examines whether an LP–driven rubric generation pipeline can produce AI-generated feedback comparable in quality to feedback guided by expert-authored task rubrics. We analyzed AI-generated feedback for written scientific explanations produced by 207 middle school students in a chemistry task. Two pipelines were compared: (a) feedback guided by a human expert–designed, task-specific rubric, and (b) feedback guided by a task-specific rubric automatically derived from a learning progression prior to grading and feedback generation. Two human coders evaluated feedback quality using a multi-dimensional rubric assessing Clarity, Accuracy, Relevance, Engagement and Motivation, and Reflectiveness (10 sub-dimensions). Inter-rater reliability was high, with percent agreement ranging from 89% to 100% and Cohen’s κ values for estimable dimensions (κ =.66–.88). Paired t-tests revealed no statistically significant differences between the two pipelines for Clarity (t1 = 0.00, p1 = 1.000; t2 = 0.84, p2 =.399), Relevance (t1 = 0.28, p1 =.782; t2 = -0.58, p2 =.565), Engagement and Motivation (t1 = 0.50, p1 =.618; t2 = -0.58, p2 =.565), or Reflectiveness (t = -0.45, p =.656). These findings suggest that the LP–driven rubric pipeline can serve as an alternative solution. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Feedback; Generative Artificial Intelligence (AI); Learning Progression","Artificial intelligence; Grading; Learning systems; Pipelines; Quality control; Students; Alternative solutions; Domain experts; Formative feedbacks; Generative artificial intelligence; Human expert; Instructional context; Learning progressions; Middle school students; Multi dimensional; Science learning; Feedback","Conference paper","Final","","Scopus","2-s2.0-105044000008"
"Cardon R.; Francisco V.","Cardon, Rémi (57212345129); Francisco, Virginia (15042045900)","57212345129; 15042045900","GenAI for Cognitive Accessibility: Plain Language","2027","Lecture Notes in Computer Science","16866 LNCS","","","369","376","0","10.1007/978-3-032-31285-3_44","https://www.scopus.com/pages/publications/105046255830?origin=resultslist","This STS brings together six contributions addressing two complementary challenges: the generation of cognitively accessible text through Large Language Model (LLM)-based approaches, and the design of GenAI interfaces that are usable by people with intellectual disabilities. This paper provides an overview of the session’s contributions, highlights cross-cutting themes, and situates them within the broader context of cognitive accessibility research and responsible AI human-centred AI. Together, these works reflect an emerging research agenda at the intersection of NLP, HCI, accessibility, and responsible AI design. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Accessible Interfaces; Cognitive Accessibility; Easy-to-Read; Generative AI; Intellectual Disabilities; Text Simplification","Cognitive systems; Information systems; Accessible interface; Cognitive accessibility; Cross-cutting; Easy-to-read; Generative AI; Intellectual disability; Language model; Model based approach; Research agenda; Text simplification; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-105046255830"
"Karidi T.; Amir O.; Roll I.","Karidi, Taelin (57212873525); Amir, Ofra (55023457200); Roll, Ido (8987398200)","57212873525; 55023457200; 8987398200","AI in the Wild: A Large Scale Analysis of Authentic Interactions of College Students with Generative AI","2027","Lecture Notes in Computer Science","16585 LNAI","","","479","488","0","10.1007/978-3-032-29770-9_52","https://www.scopus.com/pages/publications/105043972427?origin=resultslist","Generative AI tools (GenAI) are increasingly used by students during coursework, yet empirical understanding of how students engage with these systems in authentic learning contexts remains limited. Existing studies have largely relied on controlled settings, single-domain analyses, or small-scale qualitative data, leaving open how student-AI interaction unfolds across courses and forms of academic work. We present a large-scale analysis of naturally occurring student-AI interactions collected from undergraduate students across multiple university courses and academic domains. The dataset comprises over 15,000 student-AI interaction units drawn from voluntary use of generative AI during real coursework. To characterize these interactions, we analyze each student turn along two complementary dimensions, cognitive intent and interaction context, capturing whether requests are directed toward the task or domain, the student’s own work, or prior AI output. Using instruction-guided annotation applied at scale, we examine how these interaction patterns are distributed overall and how they vary across courses. Our analysis reveals that student-AI interaction is highly structured. Across courses, interactions concentrate in a small number of recurring patterns rather than exhibiting highly idiosyncratic use. At the same time, systematic differences emerge across courses, giving rise to distinct interaction profiles associated with different forms of academic work. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","AI; Human-AI Interaction; Learning Analytics","Curricula; Learning systems; Students; Teaching; Academic work; Authentic learning; College students; Courseworks; Domain analysis; Human-AI interaction; Large-scale analysis; Learning analytic; Learning context; Single domains; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-105043972427"
"De Andrés M.; Riofrío-Luzcando D.; López V.; Santos M.; Urgelés D.","De Andrés, Miguel (60197836500); Riofrío-Luzcando, Diego (57090951900); López, Victoria (24366484600); Santos, Matilde (15129377200); Urgelés, Diego (23568925400)","60197836500; 57090951900; 24366484600; 15129377200; 23568925400","Development of a Serious Video Game for Pattern Detection in Emotional Behavior","2027","Lecture Notes in Computer Science","16754 LNCS","","","306","318","0","10.1007/978-981-92-2487-6_19","https://www.scopus.com/pages/publications/105045937965?origin=resultslist","Early detection of emotional and motivational alterations is crucial to prevent the chronic progression of affective disorders in adolescents and young adults. This work presents the design, implementation, and preliminary validation of a serious mobile videogame aimed at detecting behavioral patterns associated with emotional vulnerability. The game is grounded in Optimal Foraging Theory, specifically Charnov’s Marginal Value Theorem, and models decision-making processes related to effort–reward trade-offs. Players interact with a patch-leaving task in which they must decide when to abandon a resource node under energetic and temporal constraints. Behavioral metrics such as abandonment thresholds, effort sensitivity, exploration patterns, and decision-making under uncertainty are recorded through a client–server architecture based on Unity, Spring Boot, and PostgreSQL. A qualitative validation was conducted through semi-structured interviews with Product Owners, structured according to established user experience frameworks (SUS, AttrakDiff, meCUE). Results indicate strong conceptual alignment with the initial computational framework, intuitive interaction design, and perceived motivational potential. Overall, findings suggest that the proposed system constitutes a promising tool for computational psychiatry, enabling objective, longitudinal assessment of motivational dynamics prior to clinical validation with end users. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2027.","Affective disorders; Computational Intelligence; Healthcare; Motivation; Serious Video Games","Artificial intelligence; Behavioral research; Client server computer systems; Decision making; Decision theory; Economic and social effects; Game theory; Health care; Human computer interaction; Information management; Interactive computer graphics; Serious games; User experience; User interfaces; Affective disorder; Behavioral patterns; Design implementation; Emotional behavior; Healthcare; Optimal foraging theory; Pattern detection; Serious video game; Video-games; Young adults; Motivation","Conference paper","Final","","Scopus","2-s2.0-105045937965"
"Guerrón N.; Guerra L.; Ramón J.; Veloz C.; Ponce R.","Guerrón, Nancy (57195629065); Guerra, Luis (60772790500); Ramón, Jhon (60772014100); Veloz, Carlos (60771640200); Ponce, Renata (60143780900)","57195629065; 60772790500; 60772014100; 60771640200; 60143780900","AN AI-Powered Exoskeleton for Upper-Limb Rehabilitation","2027","Lecture Notes in Computer Science","16616 LNCS","","","173","189","0","10.1007/978-981-92-2888-1_14","https://www.scopus.com/pages/publications/105046365127?origin=resultslist","Shoulder tendinitis is a pathological condition that has a profound affects the quality of life of those who suffer from it. Active rehabilitation processes can improve the well-being in patients with this condition. This study developed a rehabilitation support system for such patients, based on a shoulder exoskeleton adaptable to the user’s anatomy. The system comprises three motors enabling flexion, extension, adduction, and abduction of the upper limbs. The structure accommodates different anthropometric measurements through adjustable segments and joints. The system incorporates a shoulder orthosis. This is equipped with myoelectric sensors and electrical stimulators to measure muscle activity. To personalize rehabilitation, an artificial intelligence application was incorporated. A gyroscope and accelerometer capture shoulder kinematic data, which are used to train a Random Forest model that determines exercise parameters, such as session duration and joint angle ranges for arm movements. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2027.","Artificial intelligence; Electromyography; Exoskeleton; Tendinitis; Upper limb rehabilitation","Anthropometry; Artificial limbs; Biological organs; Joints (anatomy); Neuromuscular rehabilitation; Active rehabilitations; Exoskeleton; Flexion-extension; Pathological conditions; Quality of life; Support systems; Tendiniti; Upper-limb rehabilitation; Well being; Electromyography; Exoskeleton (Robotics)","Conference paper","Final","","Scopus","2-s2.0-105046365127"
"Temporão B.; Garcia J.E.; Rodrigues H.S.; da Fonseca M.J.S.","Temporão, Bruna (60770267600); Garcia, Jorge Esparteiro (57104146700); Rodrigues, Helena Sofia (55939150100); da Fonseca, Manuel José Serra (56973453600)","60770267600; 57104146700; 55939150100; 56973453600","Determinants of Chatbot Adoption and Satisfaction: Drivers and Barriers","2027","Lecture Notes in Networks and Systems","2105 LNNS","","","458","469","0","10.1007/978-3-032-32035-3_40","https://www.scopus.com/pages/publications/105046321667?origin=resultslist","The rapid evolution of artificial intelligence (AI) has transformed customer service environments, with chatbots emerging as key tools for improving efficiency, responsiveness and personalization. Despite their growing adoption across sectors such as retail, finance, healthcare and education, uncertainty persists regarding how users perceive these systems and which factors shape their satisfaction. Existing research points to clear advantages of chatbots but also highlights limitations related to trust, empathy and the handling of complex interactions.​ This paper examines how AI-based chatbots influence user satisfaction in customer service contexts and identifies the interactional factors that most strongly shape users’ evaluations. A quantitative, cross-sectional survey was conducted using a questionnaire that explored perceived interaction quality, trust in AI systems, social presence, usefulness, responsiveness and limitations experienced during automated service. Statistical analysis was used to identify relationships between chatbot use, user satisfaction and the variables contributing most strongly to positive or negative evaluations.​ The results show that although most respondents had previous experience with chatbots, their assessments varied across performance dimensions. Ease of use received the most favourable ratings, while problem resolution showed the greatest variability, suggesting that chatbots remain more effective for simple requests than for complex issues. Trust and clarity of information were generally positive but displayed substantial dispersion, reflecting heterogeneous user experiences. More than half of users required human assistance after chatbot interaction, and barriers such as lack of need, privacy concerns and perceived inconsistencies were frequently reported. Despite these challenges, overall satisfaction and recommendation levels were positive, indicating that effectiveness in resolving issues is central to user acceptance. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Artificial Intelligence; Barriers; Chatbot; Drivers","Sales; User experience; Barrier; Chatbots; Customer-service; Driver; Improving efficiency; Personalizations; Service environment; Uncertainty; User evaluations; Users' satisfactions; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-105046321667"
"Li Z.; Zhu X.; Li Z.; Li M.; Li C.; Yin X.; Xie Y.; Liu S.","Li, Zetan (60083768600); Zhu, Xiaoya (57216565683); Li, Zhuo (59302654200); Li, Min (60772143100); Li, Cong (60772143200); Yin, Xiaokang (57972419600); Xie, Yaobin (56547718700); Liu, Shengli (36010722100)","60083768600; 57216565683; 59302654200; 60772143100; 60772143200; 57972419600; 56547718700; 36010722100","SA2Pat: enhancing binary security patch function localization via security advisory-guided LLMs","2027","Empirical Software Engineering","32","1","15","","","0","10.1007/s10664-026-10942-z","https://www.scopus.com/pages/publications/105046355320?origin=resultslist","In modern software supply chains, security patch function localization seeks to establish a precise correlation between a Common Vulnerabilities and Exposures (CVE) entry and the function in the codebase that contains its patch. Existing approaches predominantly rely on source code information. Thus, when security audits must be conducted directly on binary files, traditional source-code-based localization methods become ineffective. To address this gap, we propose SA2Pat (Security Advisory to Patch), a framework that accurately localizes security patches by learning from patterns in historical vulnerability fixes. SA2Pat first utilizes IDA Pro and BinDiff to identify pairs of modified functions between vulnerable and patched binaries. It then treats the security advisory text as a query to retrieve reference samples from a constructed external knowledge base containing historical vulnerability patches, thereby guiding a large language model (LLM) to locate the patched function. To mitigate the frequent absence of Common Weakness Enumeration (CWE) IDs in security advisories, we employ a fine-tuned SecureBERT model to predict the likely CWE ID, ensuring that the input information remains complete. Experimental results on a dataset of 364 real-world CVEs—constructed by augmenting the PatchDiscovery benchmark with recent vulnerability patches—indicate that SA2Pat improves the F1-score by 19.35 percentage points over baseline methods. An ablation study shows that removing the reference samples decreases the F1-score by 16.6 percentage points, while removing CWE information reduces it by 4.8 percentage points, demonstrating that both components contribute critically to performance. When the oracle CWE is replaced by the SecureBERT classifier’s prediction in an end-to-end setting, SA2Pat still attains an F1-score of 70.8%, close to the 72.2% under oracle CWE. Moreover, SA2Pat remains effective across different LLM backbones. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.","LLM; Patch presence test; Program analysis; Security patch function localization; Software supply chain","Chains; Codes (symbols); Knowledge based systems; F1 scores; Language model; Large language model; Localisation; Patch presence test; Program analysis; Security advisories; Security patch function localization; Security patches; Software supply chains; Software testing","Article","Final","","Scopus","2-s2.0-105046355320"
"McConomy G.; Liu J.; Glass D.; Bond R.; Toner H.","McConomy, Gareth (60740156400); Liu, Jun (55705952500); Glass, David (35431698000); Bond, Raymond (36019802200); Toner, Holly (60283748200)","60740156400; 55705952500; 35431698000; 36019802200; 60283748200","Bridging Causal Reasoning and Fuzzy Calibration for Trustworthy AI Risk Assessment","2027","Lecture Notes in Computer Science","16756 LNCS","","","311","327","0","10.1007/978-981-92-2497-5_18","https://www.scopus.com/pages/publications/105045972849?origin=resultslist","When organisations deploy AI systems in high-stakes domains, they need risk assessments they can trust. Large language models offer a promising path to scalable assessment, but two problems undermine their reliability: shallow reasoning that flags risks without tracing causal mechanisms, and untuned aggregate output that sits systematically above cautious expert postures. We address both problems with a two-layer framework. Causal risk patterns structure the reasoning input: each pattern documents a known harm mechanism with its trigger conditions, causal steps, and empirical evidence. Ordered Weighted Averaging (OWA) calibrates the output by weighting multiple LLM assessments according to rank rather than source, systematically aligning aggregate output with a chosen expert calibration target. In experiments with three frontier LLMs assessing 125 case-pattern pairs across five real estate AI deployments, all models produced ratings sitting +0.07 to +0.16 above our expert target on a 0–1 scale. OWA aggregation calibrated to this target reduced mean absolute error by 7.7% at orness = 0.6 versus the best individual model (p = 0.023); we frame orness as a tunable governance-posture parameter that must be calibrated to context, not a universal constant. Our most surprising finding concerns a layer asymmetry: fuzzy aggregation at the output layer improves calibration, but fuzzy scaffolding at the reasoning layer degrades performance (34.8% error increase). This asymmetry, where LLMs reason better holistically than when forced into structured decomposition, has practical implications for anyone designing human-AI workflows. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2027.","AI risk assessment; causal reasoning; fuzzy aggregation; human-AI teaming; LLM calibration; NIST AI RMF; OWA operators","Agglomeration; Aggregates; Artificial intelligence; Calibration; Information systems; AI risk assessment; AI systems; Causal reasoning; Fuzzy aggregation; Human-AI teaming; LLM calibration; NIST AI RMF; Ordered weighted averaging; Ordered weighted averaging operator; Risks assessments; Risk assessment","Conference paper","Final","","Scopus","2-s2.0-105045972849"
"Minetaki K.; Ting I.-H.; Hsieh M.-C.","Minetaki, Kazunori (35322792700); Ting, I-Hsien (8717221100); Hsieh, Ming-Chia (55436431200)","35322792700; 8717221100; 55436431200","AI-Enabled Knowledge Extraction and Transformation: Comparative Case Studies from Taiwanese Firms","2027","Communications in Computer and Information Science","3092 CCIS","","","266","280","0","10.1007/978-3-032-33381-0_20","https://www.scopus.com/pages/publications/105046242882?origin=resultslist","Artificial intelligence (AI) is increasingly being adopted not only as a tool for automation and prediction but also as a mechanism for extracting, codifying, and transferring organizational knowledge. This study examines how AI contributes to knowledge transformation in Taiwanese business contexts through a qualitative multiple-case-study design. Based on semi-structured interviews conducted in Taiwan in March 2026, the study analyzes three firms operating in different domains: manufacturing automation, industrial AI platforms, and labor/legal advisory services. The findings show that AI-enabled knowledge transformation does not occur in a uniform manner. Instead, firms differ in how they extract knowledge from operational processes, expert judgment, and legal or advisory experience, and in how such knowledge is codified into digital systems and reused through organizational infrastructures. Across the three cases, a common pattern can be identified in the progression from AI-enabled knowledge extraction to codification, infrastructure formation, and knowledge transfer. At the same time, each case highlights a different organizational function of AI: process replication, analytical support, and expert knowledge formalization. The study contributes to the literature by showing that AI in business should be understood not only as a productivity-enhancing technology but also as an organizational mechanism for transforming tacit and experience-based knowledge into reusable forms. It also offers practical implications for firms seeking to preserve expertise, strengthen learning, and build scalable knowledge systems through AI. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","AI-Enabled Knowledge Extraction; Laosai; Low-site AI","Domain Knowledge; Knowledge organization; Knowledge transfer; Artificial intelligence-enabled knowledge extraction; Business contexts; Case-studies; Knowledge extraction; Knowledge transformation; Laosai; Low-site artificial intelligence; Multiple-case study; Organizational knowledge; Study design; Extraction","Conference paper","Final","","Scopus","2-s2.0-105046242882"
"Papageorgiou E.; Papadopoulos P.M.; Çini A.; Stoidis A.; de Araujo A.; Haeri M.A.","Papageorgiou, Elissavet (57529120400); Papadopoulos, Pantelis M. (13408804900); Çini, Ahsen (57218404177); Stoidis, Athanasios (60727055900); de Araujo, Adelson (60337713800); Haeri, Maryam Amir (57193274795)","57529120400; 13408804900; 57218404177; 60727055900; 60337713800; 57193274795","Investigating How Collaborative Conversational Agents Influence the Relationship of Affective and Cognitive Engagement in Student Dialogues","2027","Lecture Notes in Computer Science","16585 LNAI","","","233","241","0","10.1007/978-3-032-29770-9_26","https://www.scopus.com/pages/publications/105043996630?origin=resultslist","Collaborative engagement is a dynamic process in which affective and cognitive states interact to shape group learning. Although collaborative conversational agents (CCAs) can support dialogue, prior research has typically examined affective and cognitive engagement separately, limiting insight into their temporal interplay. This study investigated how affective engagement and cognitive engagement co-evolve during collaborative tasks. In a within-subjects design, 18 undergraduate dyads completed two discussions: one without support and one with a CCA providing prompts based on the Academically Productive Talk framework. Results showed that CCA-supported discussions had higher proportions of neutral affect and statement-making, but lower positive affect. Sequence analyses revealed that with the CCA, engagement patterns were more stable and predictable, with frequent transitions between neutral and positive statements. In contrast, unsupported discussions showed greater variability. Learning performance did not differ between conditions, and engagement patterns were not associated with performance. These findings suggest that CCAs shape engagement dynamics despite no immediate performance gains. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2027.","Collaborative conversational agents; Collaborative learning; Sequence analysis; Student engagement","Collaborative learning; Human computer interaction; Affective state; Cognitive state; Collaborative conversational agent; Collaborative learning; Collaborative tasks; Conversational agents; Dynamic process; Group learning; Sequence analysis; Student engagement; Students","Conference paper","Final","","Scopus","2-s2.0-105043996630"
